Title,Score
Shoujo Shuumatsu Ryokou,8.22
Tengoku Daimakyou,8.22
Trigun,8.22
Shoujo Kakumei Utena,8.21
SKET Dance,8.21
Tunshi Xingkong 4th Season,8.21
xxxHOLiC◆Kei,8.21
BanG Dream! It's MyGO!!!!!,8.21
Bungou Stray Dogs 3rd Season,8.21
Cardcaptor Sakura Movie 2: Fuuin Sareta Card,8.21
Fate/strange Fake: Whispers of Dawn,8.21
Fruits Basket 1st Season,8.21
Great Pretender,8.21
Kaguya-hime no Monogatari,8.21
Kuroko no Basket 2nd Season,8.21
Liz to Aoi Tori,8.21
Magi: The Kingdom of Magic,8.21
Major S1,8.21
Quanzhi Gaoshou Specials,8.21
Meitantei Conan Movie 13: Shikkoku no Chaser,8.2
One Piece Movie 14: Stampede,8.2
ReLIFE: Kanketsu-hen,8.2
Saiki Kusuo no Ψ-nan: Kanketsu-hen,8.2
Vanitas no Karte Part 2,8.2
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,8.2
Berserk: Ougon Jidai-hen III - Kourin,8.2
Horimiya,8.2
InuYasha: Kanketsu-hen,8.2
Asobi Asobase,8.19
Hachimitsu to Clover II,8.19
Maison Ikkoku,8.19
Major S4,8.19
Mo Dao Zu Shi Q,8.19
Nomad: Megalo Box 2,8.19
One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,8.19
Senki Zesshou Symphogear XV,8.19
xxxHOLiC Rou,8.19
Sono Bisque Doll wa Koi wo Suru,8.18
Spy x Family Movie: Code: White,8.18
Stand By Me Doraemon 2,8.18
Yojouhan Time Machine Blues,8.18
Yoru wa Mijikashi Arukeyo Otome,8.18
Ao Ashi,8.18
Bakuman.,8.18
Ballroom e Youkoso,8.18
Bungou Stray Dogs 2nd Season,8.18
Chihayafuru,8.18
Dragon Ball Super: Broly,8.18
Dragon Ball Z,8.18
Fate/stay night: Unlimited Blade Works,8.18
Girls & Panzer Movie,8.18
Horimiya: Piece,8.18
Hunter x Hunter: Greed Island,8.18
Initial D Second Stage,8.18
Kotarou wa Hitorigurashi,8.18
Little Busters! Refrain,8.18
Major S2,8.18
No Game No Life: Zero,8.18
Non Non Biyori Repeat,8.18
K-On!!,8.17
Made in Abyss Movie 1: Tabidachi no Yoake,8.17
Meitantei Conan,8.17
Meitantei Conan Movie 20: Junkoku no Nightmare,8.17
Yuukoku no Moriarty,8.17
Black Lagoon: The Second Barrage,8.17
Cardcaptor Sakura,8.17
Digimon Adventure: Last Evolution Kizuna,8.17
Girls & Panzer: Saishuushou Part 3,8.17
Haikyuu!! Movie 3: Sainou to Sense,8.17
Higurashi no Naku Koro ni Kai,8.17
Holo no Graffiti,8.17
Initial D Fourth Stage,8.17
Akira,8.16
Aria the Natural,8.16
Dr. Stone: Ryuusui,8.16
Dr. Stone: Stone Wars,8.16
Fate/stay night Movie: Heaven's Feel - I. Presage Flower,8.16
Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,8.16
"Kamisama Hajimemashita: Kamisama, Shiawase ni Naru",8.16
Lycoris Recoil,8.16
Ouran Koukou Host Club,8.16
Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,8.16
Toaru Kagaku no Railgun T,8.16
Dr. Stone: New World,8.15
Eiga Daisuki Pompo-san,8.15
Lupin III: Cagliostro no Shiro,8.15
Natsume Yuujinchou: Ishi Okoshi to Ayashiki Raihousha,8.15
Noragami Aragoto,8.15
Kaiba,8.14
Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen,8.14
Major: Message,8.14
Non Non Biyori Nonstop: Bukatsu wo Ganbatta,8.14
Shinigami Bocchan to Kuro Maid 3rd Season,8.14
Shokugeki no Souma,8.14
Tensei shitara Slime Datta Ken,8.14
Tsue to Tsurugi no Wistoria,8.14
Working!!! Lord of the Takanashi,8.14
Wu Liuqi: Anying Suming,8.14
Yi Nian Yong Heng: Chuan Cheng Pian,8.14
Black Clover,8.14
Death Parade,8.14
Given: Uragawa no Sonzai,8.14
IDOLiSH7 Second Beat!,8.14
Cang Yuan Tu,8.13
Eizouken ni wa Te wo Dasu na!,8.13
Ginga Eiyuu Densetsu Gaiden,8.13
Given Movie 1,8.13
Hinamatsuri,8.13
Interstella5555: The 5tory of The 5ecret 5tar 5ystem,8.13
Kidou Senshi Gundam: The Origin - Zenya Akai Suisei,8.13
Lupin III: Part 5,8.13
Nisemonogatari,8.13
Nodame Cantabile: Paris-hen,8.13
Paripi Koumei,8.13
Princess Tutu,8.13
Seirei no Moribito,8.13
Shikanoko Nokonoko Koshitantan,8.13
Skip to Loafer,8.13
Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san,8.13
Buddy Daddies,8.12
Gankutsuou,8.12
Gintama': Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru,8.12
JoJo no Kimyou na Bouken Part 6: Stone Ocean,8.12
Katekyou Hitman Reborn!,8.12
Kaze Tachinu,8.12
One Piece Film: Z,8.12
Kamisama Hajimemashita,8.11
Kidou Senshi Gundam 00,8.11
Kuragehime,8.11
Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's,8.11
Meitantei Conan Movie 05: Tengoku e no Countdown,8.11
Meitantei Conan Movie 14: Tenkuu no Lost Ship,8.11
One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,8.11
Saiki Kusuo no Ψ-nan: Ψ-shidou-hen,8.11
Shen Yin Wangzuo,8.11
Diamond no Ace,8.11
Fullmetal Alchemist,8.11
Golden Kamuy 4th Season,8.11
Akatsuki no Yona OVA,8.1
Chuunibyou demo Koi ga Shitai! Movie: Take On Me,8.1
Detroit Metal City,8.1
Durarara!!,8.1
Gintama°: Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue,8.1
Gridman Universe,8.1
Initial D Fifth Stage,8.1
Jigokuraku,8.1
Stand By Me Doraemon,8.1
Tamayura: Sotsugyou Shashin Part 4 - Ashita,8.1
Toki wo Kakeru Shoujo,8.1
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,8.1
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,8.1
Kono Subarashii Sekai ni Shukufuku wo!,8.1
Koukaku Kidoutai: Stand Alone Complex - Solid State Society,8.1
Kuroko no Basket: Saikou no Present desu,8.1
Mahoutsukai no Yome: Hoshi Matsu Hito,8.1
Precure All Stars Movie F,8.1
Saint Seiya: The Lost Canvas - Meiou Shinwa 2,8.1
Kidou Senshi Gundam Unicorn,8.09
Serial Experiments Lain,8.09
Gin no Saji,8.09
Hajime no Ippo: Boxer no Kobushi,8.09
Hidamari Sketch: Sae Hiro Sotsugyou-hen,8.09
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,8.09
Tsubasa: Shunraiki,8.09
Tsukimonogatari,8.09
Tsurune: Tsunagari no Issha,8.09
Zankyou no Terror,8.09
Uchouten Kazoku 2,8.08
Yuanshen: Jinzhong Ge,8.08
Yuusha-Ou GaoGaiGar Final,8.08
Kuroko no Basket Movie 4: Last Game,8.08
Mirai Shounen Conan,8.08
Overlord IV,8.08
Quanzhi Gaoshou: Dianfeng Rongyao,8.08
"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su",8.08
Ansatsu Kyoushitsu,8.08
Baccano! Specials,8.08
Boku no Hero Academia 2nd Season,8.08
Fumetsu no Anata e Season 2,8.08
Ginga Eiyuu Densetsu: Arata naru Tatakai no Overture,8.08
Gintama: Nanigoto mo Saisho ga Kanjin nanode Tashou Senobisuru Kurai ga Choudoyoi,8.08
City Hunter 2,8.07
Gintama: Dai Hanseikai,8.07
Girls & Panzer: Saishuushou Part 2,8.07
Haikyuu!! Movie 2: Shousha to Haisha,8.07
Hikaru no Go,8.07
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,8.07
Shokugeki no Souma: Ni no Sara,8.07
Skip Beat!,8.07
Spy x Family Season 2,8.07
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 2,8.07
Kanata no Astra,8.07
Kidou Senshi Gundam 00 Second Season,8.07
Kimi wa Houkago Insomnia,8.07
Koukaku Kidoutai: Stand Alone Complex - The Laughing Man,8.07
Kamisama Hajimemashita OVA,8.06
Kuroshitsuji: Book of Circus,8.06
Kyou kara Ore wa!!,8.06
Mahoutsukai no Yome,8.06
Meitantei Conan Movie 08: Ginyoku no Magician,8.06
Meitantei Conan Movie 18: Ijigen no Sniper,8.06
No Game No Life,8.06
One Piece Film: Strong World,8.06
Ookami to Koushinryou: Merchant Meets the Wise Wolf,8.06
Sakura-sou no Pet na Kanojo,8.06
Ginga Eiyuu Densetsu Gaiden (1999),8.06
Hyouka,8.06
Toradora!,8.06
Uma Musume: Pretty Derby Season 2,8.05
World Trigger 2nd Season,8.05
Yowamushi Pedal: Grande Road,8.05
Kidou Senshi Gundam: Tekketsu no Orphans,8.05
Kodomo no Omocha (TV),8.05
Koukyoushihen Eureka Seven,8.05
Kuroko no Basket,8.05
Kuroshitsuji: Book of Murder,8.05
Meitantei Conan Movie 25: Halloween no Hanayome,8.05
Saint Seiya: Meiou Hades Juuni Kyuu-hen,8.05
Angel Beats!,8.05
Darker than Black: Kuro no Keiyakusha,8.05
Dorohedoro,8.05
Durarara!!x2 Ketsu,8.05
Ginga Eiyuu Densetsu: Die Neue These - Seiran 1,8.05
5-toubun no Hanayome ∬,8.04
Douluo Dalu II: Jueshi Tangmen,8.04
Fate/stay night: Unlimited Blade Works Prologue,8.04
Glass no Kamen (2005),8.04
Golden Boy,8.04
Gosick,8.04
Shijou Saikyou no Deshi Kenichi,8.04
Tsuki ga Kirei,8.04
Tunshi Xingkong,8.04
Yuru Camp△ Season 3,8.04
Karakai Jouzu no Takagi-san 2,8.04
Mairimashita! Iruma-kun 2nd Season,8.04
Mignon,8.04
Omoide no Marnie,8.04
Paprika,8.04
Persona 3 the Movie 4: Winter of Rebirth,8.04
Kill la Kill,8.03
"Komi-san wa, Comyushou desu. 2nd Season",8.03
Lovely★Complex,8.03
Meitantei Conan Movie 03: Seikimatsu no Majutsushi,8.03
Meitantei Conan Movie 04: Hitomi no Naka no Ansatsusha,8.03
Meitantei Conan Movie 10: Tantei-tachi no Requiem,8.03
Akatsuki no Yona,8.03
Azumanga Daiou The Animation,8.03
BanG Dream! Movie: Episode of Roselia - II: Song I Am.,8.03
Black Lagoon,8.03
Dennou Coil,8.03
FLCL,8.03
Haikyuu!! Movie 1: Owari to Hajimari,8.03
